	tid	plattform	hyppighet	mange_videoer_proc	mange_i_snitt_proc	tidseffektivt_proc	laeringsutbytte_proc	engasjerende_proc	andre_ressurser_proc	mange_i_snitt_animert_proc	tidseffektivt_animert_proc	laeringsutbytte_animert_proc	engasjerende_animert_proc	q1_proc	q2_proc	q3_proc	q4_proc	q5_proc	mange_videoer_virt	mange_i_snitt_virt	tidseffektivt_virt	laeringsutbytte_virt	engasjerende_virt	andre_ressurser_virt	mange_i_snitt_animert_virt	tidseffektivt_animert_virt	laeringsutbytte_animert_virt	engasjerende_animert_virt	q1_virt	q2_virt	q3_virt	q4_virt	q5_virt
7	07:58	4	1	1	1	3	3	3	0,5,6	0	0	0	0	1	1	1	2	1	0	0	0	0	0	0,6	0	0	0	0	3	1	3	3	2
8	8:24	1,2	2	2	1	1	1	1	0	1	2	2	1	1	0	2	3	3	2	1	2	3	2	0	0	2	2	2	3	0	2	3	2
9	8:50	2	0	0	0	0	0	0	0,1,2,6	2	4	3	3	2	0	1	3	3	0	0	0	0	0	0,1,2,6	0	0	0	0	0	1	2	3	1
10	8:21	0	0	0	0	0	0	0	0,6	1	4	4	3	1	1	1	3	3	0	0	0	0	0	0,6	0	0	0	0	3	1	1	3	0
11	10:42	0,1,4	3	1	1	3	5	3	3,4,5	0	0	0	0	1	1	1	3	0	1	1	2	3	2	3,4	1	3	3	3	0	2	2	0	2
12	9:14	0,1,2	2	3	1	3	2	3	0,6	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0,4,6	0	0	0	0	0	1	0	0	0
13	8:51	0,1,2	1	2	1	3	3	2	0,6	1	3	2	2	1	0	1	3	1,3	0	0	0	0	0	0,6	1	3	2	2	3	1	2	1	2
14	7:15	1	3	1	2	4	2	1	6	1	4	2	2	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	2	1	1	1	1
15	7:15	0,2	2	1	1	3	3	2	0,4	1	3	4	3	-	0	1	3	3	0	0	0	0	0	0	0	0	0	0	0	1	2	1	-
16	7:06	0,4	5	2	1	3	3	2	0,1,2,3,5	1	3	4	3	2	0	1	3	1	1	1	3	2	2	0,1,2,3	0	0	0	0	0	1	2	1	1
17	6:35	4	3	1	3	3	3	2	3,4,5	0	0	0	0	2	0	1	3	0,3	2	1	2	3	2	0,2,3	0	0	0	0	0	1	2	1	1
18	6:50	0	1	3	2	2	3	1	0,1,2,3,4,5	2	5	2	1	2	0	0	3	3	4	1	2	3	2	0,1,2,3,4,5	1	5	1	1	0	1	0	1	2
19	6:37	0,1,4	3	1	0	3	3	2	0,6	0	3	3	3	2	3	1	3	0	0	0	3	3	3	0,6	0	3	3	3	1	2	1	0	1
20	6:23	0,2,4	2	2	4	3	3	2	0,4,6	0	0	0	0	1	0	2	3	3	0	0	0	0	0	0	0	0	0	0	3	1	3	1	2
21	6:21	2	2	1	1	3	4	1	0,4,5,6	1	3	3	1	2	0	1	3	1	0	0	0	0	0	0,4,6	1	4	4	2	0	3	2	2	2
